,index,node,importance,Unnamed: 0,symbol,weight,Type
29,29,FYN,0.005138933240797187,,,,coding
62,62,CD247,0.00211832034409169,,,,coding
78,78,CEBPB,0.0017658928182819034,,,,coding
118,118,JUND,0.0011019473942321908,,,,coding
174,176,IGF1,0.0007175834341136733,,,,coding
180,183,E2F2,0.0006917267309275213,,,,coding
182,185,PCNA,0.0006849478284033749,,,,coding
185,188,TMBIM6,0.0006760234403410162,,,,coding
203,207,BTG2,0.0006125394413907408,,,,coding
238,242,SNIP1,0.0005479072058725889,,,,coding
240,244,TBPL1,0.0005420968150180531,,,,coding
244,248,DBF4,0.000533509040692331,,,,coding
257,263,SOD2,0.0005087183522089956,,,,coding
272,278,FOSL1,0.00048379903298264166,,,,coding
274,281,STMN1,0.00047967529554514423,,,,coding
280,287,DAZAP2,0.0004747666025354421,,,,coding
287,294,SOCS1,0.0004696878275444239,,,,coding
293,300,NFYA,0.000460034175602589,,,,coding
298,305,BIRC5,0.00045295623616722626,,,,coding
305,312,SNRPD1,0.00044837974002074027,,,,coding
330,337,KLF1,0.00042115478356650213,,,,coding
359,366,BCL2,0.00039279097010871445,,,,coding
378,385,MIDN,0.000378597289105936,,,,coding
412,422,CXXC5,0.0003525102863204129,,,,coding
424,434,FAM83D,0.00034577784755681425,,,,coding
426,436,RAB5B,0.00034548107153576643,,,,coding
436,447,CSK,0.00034173125044922154,,,,coding
443,454,MAFK,0.00033690890832826733,,,,coding
477,488,RALGPS2,0.0003153247265159078,,,,coding
515,528,CD80,0.0002925298088121917,,,,coding
525,538,IGF2,0.00028990025152975574,,,,coding
538,551,TIMP2,0.00028446592687848235,,,,coding
540,553,SH2D1A,0.0002836395589691038,,,,coding
550,563,ARF3,0.00027693958257834806,,,,coding
552,565,CD79A,0.000276768358364634,,,,coding
566,580,RAB8B,0.0002714534021461365,,,,coding
572,587,E2F5,0.0002687906254600991,,,,coding
574,589,HRK,0.00026868558293436376,,,,coding
576,591,KLF9,0.00026838095175526485,,,,coding
577,592,YWHAQ,0.00026788464932609243,,,,coding
582,598,CXCL5,0.0002663903206221683,,,,coding
585,602,PFN2,0.0002650790793322927,,,,coding
611,631,ITM2B,0.0002564784769854549,,,,coding
615,635,HNRNPA0,0.0002559426390646784,,,,coding
625,645,CDK2AP1,0.0002533659412274962,,,,coding
634,655,EGLN2,0.00025045829618810297,,,,coding
637,658,GRAP,0.0002495093114550375,,,,coding
650,671,DNAJB11,0.00024672949728551794,,,,coding
686,707,RNF11,0.00023703014958094645,,,,coding
687,708,TGOLN2,0.00023689868877775354,,,,coding
696,717,FGF1,0.00023479280786061152,,,,coding
701,722,GATA6,0.00023422483891528308,,,,coding
703,724,PRNP,0.00023306319397280054,,,,coding
725,746,SNTB2,0.00022839028656590732,,,,coding
732,753,CAV2,0.0002260189607949525,,,,coding
746,767,BTG3,0.00022260073922350613,,,,coding
750,771,PFN1,0.0002206321077645184,,,,coding
763,784,CCNG1,0.00021651426264580355,,,,coding
766,787,CCL7,0.00021578563518072024,,,,coding
785,806,PURA,0.00021215237224911357,,,,coding
796,818,JUNB,0.0002091687047437448,,,,coding
801,823,ENO1,0.00020840208700569375,,,,coding
818,840,KARS,0.00020519863380355854,,,,coding
825,847,HLA-DPA1,0.0002041638371970798,,,,coding
836,859,CYCS,0.00020171655146143062,,,,coding
861,884,PAFAH1B2,0.0001970598545089077,,,,coding
862,885,SH3BP2,0.0001970079687263699,,,,coding
871,894,MTMR10,0.00019579492682208574,,,,coding
881,904,ACP1,0.0001936010911914845,,,,coding
907,930,RPIA,0.00018846145416612277,,,,coding
913,936,PNRC2,0.00018764040054758215,,,,coding
918,941,H2AFX,0.00018674001420998645,,,,coding
931,955,DYNLL2,0.0001844729324629312,,,,coding
957,981,DUSP5,0.0001810641744798885,,,,coding
1013,1038,SDCBP,0.00017258829461465577,,,,coding
1015,1040,VTA1,0.000172383899210381,,,,coding
1018,1043,KLF12,0.0001719602428226483,,,,coding
1021,1046,BATF,0.00017176207792890324,,,,coding
1030,1055,F3,0.00017017026432255089,,,,coding
1035,1060,EIF4EBP1,0.00016990544984864372,,,,coding
1044,1069,LUC7L,0.0001684545416290572,,,,coding
1056,1081,BNIP3L,0.0001675147795043437,,,,coding
1064,1089,KLF2,0.00016667493725366594,,,,coding
1071,1096,HIC1,0.00016538946554027774,,,,coding
1072,1097,CEBPD,0.00016535875997169893,,,,coding
1079,1104,RNF141,0.00016402845213389929,,,,coding
1087,1112,CD3D,0.00016332944035893615,,,,coding
1098,1123,HOXA10,0.00016230169836938403,,,,coding
1099,1124,PSMC2,0.00016211412170644694,,,,coding
1110,1136,RBL2,0.00016126347898868653,,,,coding
1117,1143,RBPJ,0.00015974156526240644,,,,coding
1120,1146,UQCRQ,0.00015908622197228887,,,,coding
1126,1152,GRB2,0.00015810335612714778,,,,coding
1133,1160,PPP1CC,0.00015766245116017094,,,,coding
1172,1200,OTX1,0.00015338026162092967,,,,coding
1185,1216,BECN1,0.00015142253216642707,,,,coding
1194,1225,CDC42,0.00015040618567016168,,,,coding
1203,1234,GADD45G,0.0001495975974003072,,,,coding
1212,1244,NUP50,0.00014808643539458813,,,,coding
1230,1263,CEBPA,0.0001459123169762111,,,,coding
1232,1265,ODC1,0.0001458730564187428,,,,coding
1246,1279,ADAM17,0.0001441037921283375,,,,coding
1249,1282,MYCBP,0.00014370620541443325,,,,coding
1255,1289,hsa-miR-99b-5p,0.00014316491959037728,,,,coding
1264,1298,RRAS2,0.00014195825243431244,,,,coding
1296,1330,GFRA1,0.00013836934026422305,,,,coding
1300,1335,MAFB,0.00013754277095222732,,,,coding
1302,1337,PDGFC,0.00013748103734924979,,,,coding
1309,1344,GAS1,0.0001368481454105786,,,,coding
