,index,node,importance
0,0,hsa-miR-103a-3p,0.01670928913297508
1,1,hsa-miR-92a-1-5p,0.014450201117708984
2,2,hsa-miR-16-5p,0.013282207067891289
3,3,hsa-miR-19a-5p,0.011808474956268588
4,4,hsa-miR-17-5p,0.011481042545358613
5,5,hsa-miR-130b-5p,0.011252923072827466
6,6,hsa-miR-23a-5p,0.011033009278954585
7,7,hsa-miR-19b-1-5p,0.010758141042528315
8,8,hsa-let-7i-5p,0.010019520754794304
9,9,LCK,0.009552886880692453
10,10,hsa-miR-301a-5p,0.009464378474189298
11,11,hsa-miR-15a-5p,0.009301970722804708
12,12,hsa-miR-23b-5p,0.0090531452758803
13,13,hsa-miR-15b-5p,0.009009468800715298
14,14,hsa-miR-106b-5p,0.008470552276161772
15,15,hsa-let-7b-5p,0.00842707696587847
16,16,hsa-miR-93-5p,0.008387422270378614
17,17,EP300,0.008214943146390562
18,18,hsa-miR-20a-5p,0.007852580720157596
19,19,hsa-miR-30e-5p,0.007813200025501768
20,20,hsa-let-7d-5p,0.007650916157582777
21,21,hsa-miR-25-5p,0.0073098994388838285
22,22,hsa-miR-107,0.007269935347982606
23,23,hsa-miR-142-5p,0.006451350814650794
24,24,hsa-miR-27a-5p,0.005937229435113916
25,25,hsa-miR-199a-5p,0.005713191991302569
26,26,hsa-miR-130a-5p,0.005405756414722406
27,27,hsa-let-7a-5p,0.0053932579279969165
28,28,ESR1,0.005356837782011465
29,29,FYN,0.005138933240797187
30,30,hsa-miR-155-5p,0.004923329526308436
31,31,hsa-miR-454-5p,0.004821207636363923
32,32,AR,0.004728868012995986
33,33,FOXA1,0.004508807598946218
34,34,hsa-miR-186-5p,0.004321921246158166
35,35,hsa-miR-146a-5p,0.0038449132276426453
36,36,hsa-miR-18a-5p,0.003796676446328416
37,37,hsa-miR-199b-5p,0.00348114484747476
38,38,hsa-miR-181b-5p,0.0034650204770263703
39,39,hsa-miR-148b-5p,0.003373862771068042
40,40,LYN,0.003000745192318884
41,41,CREBBP,0.0029551156019195584
42,42,ZAP70,0.0028712523010809296
43,43,hsa-let-7c-5p,0.002830990888384138
44,44,LCP2,0.0028123214306283086
45,45,SP1,0.0028001352646655903
46,46,ERG,0.002773419675999646
47,47,E2F1,0.0027485990393084792
48,48,hsa-miR-125b-5p,0.002667793424697851
49,49,GATA3,0.0025274923468072362
50,50,hsa-miR-27b-5p,0.0025165599617891234
51,51,hsa-miR-424-5p,0.002480794507314083
52,52,hsa-miR-9-5p,0.002459774601524746
53,53,hsa-miR-181a-5p,0.002444481737892763
54,54,PTPRC,0.0024250462860969176
55,55,hsa-let-7g-5p,0.002382339975805746
56,56,hsa-miR-331-5p,0.0023819554250852936
57,57,hsa-miR-125a-5p,0.002330004347107283
58,58,FN1,0.0021908401715230214
59,59,hsa-miR-590-5p,0.002184311342840279
60,60,hsa-miR-200c-5p,0.00216244223998884
61,61,hsa-miR-101-3p,0.002145430145166086
62,62,CD247,0.00211832034409169
63,63,hsa-miR-98-5p,0.0021124615801573635
64,64,COL1A1,0.0021092159550161055
65,65,hsa-miR-378a-5p,0.0019519895842450797
66,66,hsa-miR-26a-5p,0.0019403777350292405
67,67,VAV1,0.0019343014713020781
68,68,hsa-miR-32-5p,0.001911183665434288
69,69,hsa-miR-182-5p,0.0018960161538141215
70,70,hsa-miR-195-5p,0.0018950987204744475
71,71,JUN,0.0018758973534007785
72,72,SYK,0.0018714927903707706
73,73,RUNX1,0.0018637253151907636
74,74,hsa-miR-146b-5p,0.0018014083437542484
75,75,hsa-miR-324-5p,0.001800425564426558
76,76,STAT1,0.0017832031620030572
77,77,ETS1,0.0017756677481590715
78,78,CEBPB,0.0017658928182819034
79,79,EGR1,0.0016790728380710364
80,80,RB1,0.0016371231785018323
81,81,hsa-miR-141-5p,0.0016288968054517033
82,82,CD5,0.0015537386593899008
83,83,PLCG2,0.0014944892236857165
84,84,hsa-miR-362-5p,0.001464881669597786
85,85,hsa-miR-218-5p,0.0014479606240591252
86,86,RUNX3,0.0014440681126675584
87,87,RARA,0.001441512073711231
