,index,node,importance,Unnamed: 0,symbol,weight,Type,In OncomiR
0,0,hsa-miR-103a-3p,0.01670928913297508,,,,non-coding,Yes
1,1,hsa-miR-92a-1-5p,0.014450201117708984,,,,non-coding,No
2,2,hsa-miR-16-5p,0.013282207067891289,,,,non-coding,Yes
3,3,hsa-miR-19a-5p,0.011808474956268588,,,,non-coding,No
4,4,hsa-miR-17-5p,0.011481042545358613,,,,non-coding,Yes
5,5,hsa-miR-130b-5p,0.011252923072827466,,,,non-coding,Yes
6,6,hsa-miR-23a-5p,0.011033009278954585,,,,non-coding,Yes
7,7,hsa-miR-19b-1-5p,0.010758141042528315,,,,non-coding,Yes
8,8,hsa-let-7i-5p,0.010019520754794304,,,,non-coding,Yes
10,10,hsa-miR-301a-5p,0.009464378474189298,,,,non-coding,No
11,11,hsa-miR-15a-5p,0.009301970722804708,,,,non-coding,Yes
12,12,hsa-miR-23b-5p,0.0090531452758803,,,,non-coding,No
13,13,hsa-miR-15b-5p,0.009009468800715298,,,,non-coding,Yes
14,14,hsa-miR-106b-5p,0.008470552276161772,,,,non-coding,Yes
15,15,hsa-let-7b-5p,0.00842707696587847,,,,non-coding,Yes
16,16,hsa-miR-93-5p,0.008387422270378614,,,,non-coding,Yes
18,18,hsa-miR-20a-5p,0.007852580720157596,,,,non-coding,No
19,19,hsa-miR-30e-5p,0.007813200025501768,,,,non-coding,Yes
20,20,hsa-let-7d-5p,0.007650916157582777,,,,non-coding,Yes
21,21,hsa-miR-25-5p,0.0073098994388838285,,,,non-coding,Yes
22,22,hsa-miR-107,0.007269935347982606,,,,non-coding,Yes
23,23,hsa-miR-142-5p,0.006451350814650794,,,,non-coding,Yes
24,24,hsa-miR-27a-5p,0.005937229435113916,,,,non-coding,Yes
25,25,hsa-miR-199a-5p,0.005713191991302569,,,,non-coding,No
26,26,hsa-miR-130a-5p,0.005405756414722406,,,,non-coding,No
27,27,hsa-let-7a-5p,0.0053932579279969165,,,,non-coding,Yes
30,30,hsa-miR-155-5p,0.004923329526308436,,,,non-coding,Yes
31,31,hsa-miR-454-5p,0.004821207636363923,,,,non-coding,Yes
34,34,hsa-miR-186-5p,0.004321921246158166,,,,non-coding,No
35,35,hsa-miR-146a-5p,0.0038449132276426453,,,,non-coding,No
36,36,hsa-miR-18a-5p,0.003796676446328416,,,,non-coding,Yes
37,37,hsa-miR-199b-5p,0.00348114484747476,,,,non-coding,Yes
38,38,hsa-miR-181b-5p,0.0034650204770263703,,,,non-coding,Yes
